memo,active.all.allocated,active.all.current,active.all.freed,active.all.peak,active.large_pool.allocated,active.large_pool.current,active.large_pool.freed,active.large_pool.peak,active.small_pool.allocated,active.small_pool.current,active.small_pool.freed,active.small_pool.peak,active_bytes.all.allocated,active_bytes.all.current,active_bytes.all.freed,active_bytes.all.peak,active_bytes.large_pool.allocated,active_bytes.large_pool.current,active_bytes.large_pool.freed,active_bytes.large_pool.peak,active_bytes.small_pool.allocated,active_bytes.small_pool.current,active_bytes.small_pool.freed,active_bytes.small_pool.peak,allocated_bytes.all.allocated,allocated_bytes.all.current,allocated_bytes.all.freed,allocated_bytes.all.peak,allocated_bytes.large_pool.allocated,allocated_bytes.large_pool.current,allocated_bytes.large_pool.freed,allocated_bytes.large_pool.peak,allocated_bytes.small_pool.allocated,allocated_bytes.small_pool.current,allocated_bytes.small_pool.freed,allocated_bytes.small_pool.peak,allocation.all.allocated,allocation.all.current,allocation.all.freed,allocation.all.peak,allocation.large_pool.allocated,allocation.large_pool.current,allocation.large_pool.freed,allocation.large_pool.peak,allocation.small_pool.allocated,allocation.small_pool.current,allocation.small_pool.freed,allocation.small_pool.peak,inactive_split.all.allocated,inactive_split.all.current,inactive_split.all.freed,inactive_split.all.peak,inactive_split.large_pool.allocated,inactive_split.large_pool.current,inactive_split.large_pool.freed,inactive_split.large_pool.peak,inactive_split.small_pool.allocated,inactive_split.small_pool.current,inactive_split.small_pool.freed,inactive_split.small_pool.peak,inactive_split_bytes.all.allocated,inactive_split_bytes.all.current,inactive_split_bytes.all.freed,inactive_split_bytes.all.peak,inactive_split_bytes.large_pool.allocated,inactive_split_bytes.large_pool.current,inactive_split_bytes.large_pool.freed,inactive_split_bytes.large_pool.peak,inactive_split_bytes.small_pool.allocated,inactive_split_bytes.small_pool.current,inactive_split_bytes.small_pool.freed,inactive_split_bytes.small_pool.peak,num_alloc_retries,num_ooms,reserved_bytes.all.allocated,reserved_bytes.all.current,reserved_bytes.all.freed,reserved_bytes.all.peak,reserved_bytes.large_pool.allocated,reserved_bytes.large_pool.current,reserved_bytes.large_pool.freed,reserved_bytes.large_pool.peak,reserved_bytes.small_pool.allocated,reserved_bytes.small_pool.current,reserved_bytes.small_pool.freed,reserved_bytes.small_pool.peak,segment.all.allocated,segment.all.current,segment.all.freed,segment.all.peak,segment.large_pool.allocated,segment.large_pool.current,segment.large_pool.freed,segment.large_pool.peak,segment.small_pool.allocated,segment.small_pool.current,segment.small_pool.freed,segment.small_pool.peak
022:After-Forward,25552,637,24915,716,7077,168,6909,182,18475,469,18006,538,258634338304,3610328576,255024009728,5643755008,256229638144,3543512064,252686126080,5574466560,2404700160,66816512,2337883648,86512128,258634338304,3610328576,255024009728,5643755008,256229638144,3543512064,252686126080,5574466560,2404700160,66816512,2337883648,86512128,25552,637,24915,716,7077,168,6909,182,18475,469,18006,538,11655,63,11592,78,3586,27,3559,45,8069,36,8033,42,179654550016,1022280192,178632269824,2053939200,177048018432,1013599232,176034419200,2046509056,2606531584,8680960,2597850624,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
023:Before-Forward,26182,488,25694,716,7428,93,7335,182,18754,395,18359,538,273641248768,555830784,273085417984,5643755008,271184122880,494063616,270690059264,5574466560,2457125888,61767168,2395358720,86512128,273641248768,555830784,273085417984,5643755008,271184122880,494063616,270690059264,5574466560,2457125888,61767168,2395358720,86512128,26182,488,25694,716,7428,93,7335,182,18754,395,18359,538,12004,43,11961,78,3771,16,3755,45,8233,27,8206,42,192214162944,450802176,191763360768,2053939200,189552956928,443363328,189109593600,2046509056,2661206016,7438848,2653767168,10745856,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
024:After-Forward,28128,637,27491,716,7800,168,7632,182,20328,469,19859,539,286285656576,3555751424,282729905152,5643755008,283628067840,3489071104,280138996736,5574466560,2657588736,66680320,2590908416,86512128,286285656576,3555751424,282729905152,5643755008,283628067840,3489071104,280138996736,5574466560,2657588736,66680320,2590908416,86512128,28128,637,27491,716,7800,168,7632,182,20328,469,19859,539,12847,58,12789,78,3934,24,3910,45,8913,34,8879,42,201207358464,670009856,200537348608,2053939200,198330414592,659095552,197671319040,2046509056,2876943872,10914304,2866029568,10914304,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
025:Before-Forward,28757,488,28269,716,8149,93,8056,182,20608,395,20213,539,300949484544,555830784,300393653760,5643755008,298239510528,494063616,297745446912,5574466560,2709974016,61767168,2648206848,86512128,300949484544,555830784,300393653760,5643755008,298239510528,494063616,297745446912,5574466560,2709974016,61767168,2648206848,86512128,28757,488,28269,716,8149,93,8056,182,20608,395,20213,539,13201,44,13157,78,4116,16,4100,45,9085,28,9057,42,213260319232,450802176,212809517056,2053939200,210327900672,443363328,209884537344,2046509056,2932418560,7438848,2924979712,11098624,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
026:After-Forward,30703,637,30066,716,8525,168,8357,182,22178,469,21709,539,314393510400,3769928192,310623582208,5643755008,311472299520,3702849536,307769449984,5574466560,2921210880,67078656,2854132224,86512128,314393510400,3769928192,310623582208,5643755008,311472299520,3702849536,307769449984,5574466560,2921210880,67078656,2854132224,86512128,30703,637,30066,716,8525,168,8357,182,22178,469,21709,539,13990,69,13921,78,4263,30,4233,45,9727,39,9688,42,222760730624,843806208,221916924416,2053939200,219607166976,835387392,218771779584,2046509056,3153563648,8418816,3145144832,11422208,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
027:Before-Forward,31333,488,30845,716,8876,93,8783,182,22457,395,22062,539,330129179648,555830784,329573348864,5643755008,327154670080,494063616,326660606464,5574466560,2974509568,61767168,2912742400,86512128,330129179648,555830784,329573348864,5643755008,327154670080,494063616,326660606464,5574466560,2974509568,61767168,2912742400,86512128,31333,488,30845,716,8876,93,8783,182,22457,395,22062,539,14329,42,14287,78,4436,16,4420,45,9893,26,9867,42,234550424064,448705024,234101719040,2053939200,231342218240,443363328,230898854912,2046509056,3208205824,5341696,3202864128,11422208,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
028:After-Forward,33281,638,32643,716,9248,168,9080,182,24033,470,23563,540,343401677824,3750431232,339651246592,5643755008,340214349312,3683389440,336530959872,5574466560,3187328512,67041792,3120286720,86512128,343401677824,3750431232,339651246592,5643755008,340214349312,3683389440,336530959872,5574466560,3187328512,67041792,3120286720,86512128,33281,638,32643,716,9248,168,9080,182,24033,470,23563,540,15144,63,15081,78,4558,26,4532,45,10586,37,10549,42,243710278144,978646528,242731631616,2053939200,240278222848,970190848,239308032000,2046509056,3432055296,8455680,3423599616,11556352,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
029:Before-Forward,33914,488,33426,716,9597,93,9504,182,24317,395,23922,540,358983429632,555830784,358427598848,5643755008,355742252032,494063616,355248188416,5574466560,3241177600,61767168,3179410432,86512128,358983429632,555830784,358427598848,5643755008,355742252032,494063616,355248188416,5574466560,3241177600,61767168,3179410432,86512128,33914,488,33426,716,9597,93,9504,182,24317,395,23922,540,15488,43,15445,78,4734,16,4718,45,10754,27,10727,42,255510393856,448705024,255061688832,2053939200,252023182848,443363328,251579819520,2046509056,3487211008,5341696,3481869312,11556352,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
030:After-Forward,35858,636,35222,716,9969,168,9801,182,25889,468,25421,540,371421729280,3481606656,367940122624,5643755008,367984240128,3415116800,364569123328,5574466560,3437489152,66489856,3370999296,86512128,371421729280,3481606656,367940122624,5643755008,367984240128,3415116800,364569123328,5574466560,3437489152,66489856,3370999296,86512128,35858,636,35222,716,9969,168,9801,182,25889,468,25421,540,16327,59,16268,78,4905,24,4881,45,11422,35,11387,42,264435213312,695920128,263739293184,2053939200,260728097792,684815360,260043282432,2046509056,3707115520,11104768,3696010752,11556352,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
031:Before-Forward,36486,488,35998,716,10318,93,10225,182,26168,395,25773,540,385707319808,555830784,385151489024,5643755008,382217427456,494063616,381723363840,5574466560,3489892352,61767168,3428125184,86512128,385707319808,555830784,385151489024,5643755008,382217427456,494063616,381723363840,5574466560,3489892352,61767168,3428125184,86512128,36486,488,35998,716,10318,93,10225,182,26168,395,25773,540,16676,44,16632,78,5087,16,5071,45,11589,28,11561,42,276890760704,448705024,276442055680,2053939200,273130057728,443363328,272686694400,2046509056,3760702976,5341696,3755361280,11556352,0,0,9978249216,9978249216,0,9978249216,9888071680,9888071680,0,9888071680,90177536,90177536,0,90177536,91,91,0,91,48,48,0,48,43,43,0,43
032:After-Forward,38430,636,37794,716,10674,159,10515,182,27756,477,27279,549,398720503808,3696071168,395024432640,5643755008,395009402368,3621933056,391387469312,5574466560,3711101440,74138112,3636963328,86512128,398720503808,3696071168,395024432640,5643755008,395009402368,3621933056,391387469312,5574466560,3711101440,74138112,3636963328,86512128,38430,636,37794,716,10674,159,10515,182,27756,477,27279,549,17585,79,17506,82,5277,35,5242,45,12308,44,12264,46,286171445248,1045589504,285125855744,2053939200,282174235648,1031647232,281142588416,2046509056,3997209600,13942272,3983267328,13942272,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
033:Before-Forward,39058,488,38570,716,11011,93,10918,182,28047,395,27652,549,414047091200,555830784,413491260416,5643755008,410273633792,494063616,409779570176,5574466560,3773457408,61767168,3711690240,86512128,414047091200,555830784,413491260416,5643755008,410273633792,494063616,409779570176,5574466560,3773457408,61767168,3711690240,86512128,39058,488,38570,716,11011,93,10918,182,28047,395,27652,549,17922,45,17877,82,5455,16,5439,45,12467,29,12438,46,298280077312,450802176,297829275136,2053939200,294216061952,443363328,293772698624,2046509056,4064015360,7438848,4056576512,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
034:After-Forward,41006,638,40368,716,11398,168,11230,182,29608,470,29138,549,427080741888,3608164864,423472577024,5643755008,423113466368,3541354496,419572111872,5574466560,3967275520,66810368,3900465152,86512128,427080741888,3608164864,423472577024,5643755008,423113466368,3541354496,419572111872,5574466560,3967275520,66810368,3900465152,86512128,41006,638,40368,716,11398,168,11230,182,29608,470,29138,549,18667,62,18605,82,5593,26,5567,45,13074,36,13038,46,307629164544,516933120,307112231424,2114935808,303360335872,510343168,302849992704,2106811392,4268828672,6589952,4262238720,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
035:Before-Forward,41639,488,41151,716,11749,93,11656,182,29890,395,29495,549,442067017728,555830784,441511186944,5643755008,438046976000,494063616,437552912384,5574466560,4020041728,61767168,3958274560,86512128,442067017728,555830784,441511186944,5643755008,438046976000,494063616,437552912384,5574466560,4020041728,61767168,3958274560,86512128,41639,488,41151,716,11749,93,11656,182,29890,395,29495,549,19007,43,18964,82,5769,16,5753,45,13238,27,13211,46,320171570176,448705024,319722865152,2114935808,315847732736,443363328,315404369408,2106811392,4323837440,5341696,4318495744,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
036:After-Forward,43587,638,42949,716,12131,168,11963,182,31456,470,30986,549,454899203072,3568377344,451330825728,5643755008,450684130304,3501670400,447182459904,5574466560,4215072768,66706944,4148365824,86512128,454899203072,3568377344,451330825728,5643755008,450684130304,3501670400,447182459904,5574466560,4215072768,66706944,4148365824,86512128,43587,638,42949,716,12131,168,11963,182,31456,470,30986,549,19813,62,19751,82,5925,26,5899,45,13888,36,13852,46,329559518208,602857984,328956660224,2239528448,325024848384,598261760,324426586624,2236465152,4534669824,4596224,4530073600,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
037:Before-Forward,44218,488,43730,716,12480,93,12387,182,31738,395,31343,549,469684988416,555830784,469129157632,5643755008,465416682496,494063616,464922618880,5574466560,4268305920,61767168,4206538752,86512128,469684988416,555830784,469129157632,5643755008,465416682496,494063616,464922618880,5574466560,4268305920,61767168,4206538752,86512128,44218,488,43730,716,12480,93,12387,182,31738,395,31343,549,20147,44,20103,82,6094,16,6078,45,14053,28,14025,46,341751630848,448705024,341302925824,2239528448,337160630784,443363328,336717267456,2236465152,4591000064,5341696,4585658368,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
038:After-Forward,46175,638,45537,716,12869,168,12701,182,33306,470,32836,549,480484869632,3085239808,477399629824,5643755008,476056087040,3019280384,473036806656,5574466560,4428782592,65959424,4362823168,86512128,480484869632,3085239808,477399629824,5643755008,476056087040,3019280384,473036806656,5574466560,4428782592,65959424,4362823168,86512128,46175,638,45537,716,12869,168,12701,182,33306,470,32836,549,20968,56,20912,82,6287,19,6268,45,14681,37,14644,46,348068352512,565901824,347502450688,2239528448,343286049280,556363776,342729685504,2236465152,4782303232,9538048,4772765184,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
039:Before-Forward,46808,488,46320,716,13218,93,13125,182,33590,395,33195,549,493031361024,555830784,492475530240,5643755008,488550161920,494063616,488056098304,5574466560,4481199104,61767168,4419431936,86512128,493031361024,555830784,492475530240,5643755008,488550161920,494063616,488056098304,5574466560,4481199104,61767168,4419431936,86512128,46808,488,46320,716,13218,93,13125,182,33590,395,33195,549,21345,44,21301,82,6492,16,6476,45,14853,28,14825,46,358025949696,448705024,357577244672,2239528448,353190116864,443363328,352746753536,2236465152,4835832832,5341696,4830491136,13968384,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
040:After-Forward,48752,636,48116,716,13574,159,13415,182,35178,477,34701,549,504332925952,3239465984,501093459968,5643755008,499660199936,3166064640,496494135296,5574466560,4672726016,73401344,4599324672,86512128,504332925952,3239465984,501093459968,5643755008,499660199936,3166064640,496494135296,5574466560,4672726016,73401344,4599324672,86512128,48752,636,48116,716,13574,159,13415,182,35178,477,34701,549,22169,76,22093,82,6640,30,6610,45,15529,46,15483,46,366640826368,994683904,365646142464,2239528448,361587431424,982102016,360605329408,2236465152,5053394944,12581888,5040813056,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
041:Before-Forward,49380,488,48892,716,13911,93,13818,182,35469,395,35074,549,517551192576,555830784,516995361792,5643755008,512817251840,494063616,512323188224,5574466560,4733940736,61767168,4672173568,86512128,517551192576,555830784,516995361792,5643755008,512817251840,494063616,512323188224,5574466560,4733940736,61767168,4672173568,86512128,49380,488,48892,716,13911,93,13818,182,35469,395,35074,549,22463,45,22418,82,6767,16,6751,45,15696,29,15667,46,378876284928,448705024,378427579904,2239528448,373757347328,443363328,373313984000,2236465152,5118937600,5341696,5113595904,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
042:After-Forward,51328,638,50690,716,14293,168,14125,182,37035,470,36565,549,530720665088,3612572160,527108092928,5643755008,525787881984,3545748992,522242132992,5574466560,4932783104,66823168,4865959936,86512128,530720665088,3612572160,527108092928,5643755008,525787881984,3545748992,522242132992,5574466560,4932783104,66823168,4865959936,86512128,51328,638,50690,716,14293,168,14125,182,37035,470,36565,549,23284,65,23219,82,6928,29,6899,45,16356,36,16320,46,387812219904,512525824,387299694080,2239528448,382482191360,505948672,381976242688,2236465152,5330028544,6577152,5323451392,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
043:Before-Forward,51958,488,51470,716,14642,93,14549,182,37316,395,36921,549,545727768576,555830784,545171937792,5643755008,540739640320,494063616,540245576704,5574466560,4988128256,61767168,4926361088,86512128,545727768576,555830784,545171937792,5643755008,540739640320,494063616,540245576704,5574466560,4988128256,61767168,4926361088,86512128,51958,488,51470,716,14642,93,14549,182,37316,395,36921,549,23630,43,23587,82,7104,16,7088,45,16526,27,16499,46,400384824320,450802176,399934022144,2239528448,394996274176,443363328,394552910848,2236465152,5388550144,7438848,5381111296,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
044:After-Forward,53906,638,53268,716,15032,168,14864,182,38874,470,38404,549,557857945088,3412062208,554445882880,5643755008,552690628608,3345670144,549344958464,5574466560,5167316480,66392064,5100924416,86512128,557857945088,3412062208,554445882880,5643755008,552690628608,3345670144,549344958464,5574466560,5167316480,66392064,5100924416,86512128,53906,638,53268,716,15032,168,14864,182,38874,470,38404,549,24525,63,24462,82,7290,27,7263,45,17235,36,17199,46,408772173824,763367424,408008806400,2239528448,403184711680,754262016,402430449664,2236465152,5587462144,9105408,5578356736,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
045:Before-Forward,54536,488,54048,716,15382,93,15289,182,39154,395,38759,549,571911814656,555830784,571355983872,5643755008,566691725824,494063616,566197662208,5574466560,5220088832,61767168,5158321664,86512128,571911814656,555830784,571355983872,5643755008,566691725824,494063616,566197662208,5574466560,5220088832,61767168,5158321664,86512128,54536,488,54048,716,15382,93,15289,182,39154,395,38759,549,24865,44,24821,82,7465,16,7449,45,17400,28,17372,46,421582003712,450802176,421131201536,2239528448,415939711488,443363328,415496348160,2236465152,5642292224,7438848,5634853376,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
046:After-Forward,56475,638,55837,716,15769,168,15601,182,40706,470,40236,549,583304118784,3183716864,580120401920,5643755008,577917160960,3117699072,574799461888,5574466560,5386957824,66017792,5320940032,86512128,583304118784,3183716864,580120401920,5643755008,577917160960,3117699072,574799461888,5574466560,5386957824,66017792,5320940032,86512128,56475,638,55837,716,15769,168,15601,182,40706,470,40236,549,25668,62,25606,82,7633,26,7607,45,18035,36,17999,46,429679251968,849106432,428830145536,2239528448,423844016640,839626752,423004389888,2236465152,5835235328,9479680,5825755648,14541312,0,0,9980346368,9980346368,0,9980346368,9888071680,9888071680,0,9888071680,92274688,92274688,0,92274688,92,92,0,92,48,48,0,48,44,44,0,44
